,comment1,comment2,name1,name2,meta1,meta2,label
0,"Optional Answer that can be used with
 Mockito#mock(Class, Answer)
 This implementation can be helpful when working with legacy code. Unstubbed
 methods often return null. If your code uses the object returned by an
 unstubbed call you get a NullPointerException. This implementation of
 Answer returns SmartNulls instead of nulls.
 SmartNull gives nicer exception message than NPE because it points out the
 line where unstubbed method was called. You just click on the stack trace.
 ReturnsSmartNulls first tries to return ordinary return values (see
 ReturnsMoreEmptyValues) then it tries to return SmartNull. If the
 return type is not mockable (e.g. final) then ordinary null is returned.
 ReturnsSmartNulls will be probably the default return values strategy in
 Mockito 2.0","Optional Answer to be used with Mockito#mock(Class, Answer).
 Answer can be used to define the return values of unstubbed invocations.
 This implementation can be helpful when working with legacy code.
 Unstubbed methods often return null. If your code uses the object returned by an unstubbed call you get a NullPointerException.
 This implementation of Answer returns SmartNull instead of null.
 SmartNull gives nicer exception message than NPE because it points out the line where unstubbed method was called. You just click on the stack trace.
 ReturnsSmartNulls first tries to return ordinary return values (see ReturnsMoreEmptyValues)
 then it tries to return SmartNull. If the return type is final then plain null is returned.
 ReturnsSmartNulls will be probably the default return values strategy in Mockito 2.0.
 Example:
 <pre class=""code""><code class=""java"">
 Foo mock = mock(Foo.class, RETURNS_SMART_NULLS);
 //calling unstubbed method here:
 Stuff stuff = mock.getStuff();
 //using object returned by unstubbed call:
 stuff.doSomething();
 //Above doesn't yield NullPointerException this time!
 //Instead, SmartNullPointerException is thrown.
 //Exception's cause links to unstubbed mock.getStuff() - just click on the stack trace.
 ",ReturnsSmartNulls,RETURNS_SMART_NULLS,"<!-- META {""entityType"": ""Class"", ""entitySignature"": ""ReturnsSmartNulls"", ""entityFile"": ""ReturnsSmartNulls.java""} -->","<!-- META {""entityType"": ""Field"", ""entitySignature"": ""RETURNS_SMART_NULLS"", ""entityFile"": ""Mockito.java""} -->",1
1,"Create this verification mode, to be used to verify invocation ongoing data later.
 @param pollingPeriodMillis The frequency to poll delegate.verify(), to check whether the delegate has been satisfied
 @param durationMillis The max time to wait (in millis) for the delegate verification mode to be satisfied
 @param delegate The verification mode to delegate overall success or failure to
 @param returnOnSuccess Whether to immediately return successfully once the delegate is satisfied (as in
 org.mockito.verification.VerificationWithTimeout, or to only return once
 the delegate is satisfied and the full duration has passed (as in
 org.mockito.verification.VerificationAfterDelay).","Create this verification mode, to be used to verify invocation ongoing data later.
 @param pollingPeriodMillis The frequency to poll delegate.verify(), to check whether the delegate has been satisfied
 @param delegate The verification mode to delegate overall success or failure to
 @param returnOnSuccess Whether to immediately return successfully once the delegate is satisfied (as in
 org.mockito.verification.VerificationWithTimeout, or to only return once
 the delegate is satisfied and the full duration has passed (as in
 org.mockito.verification.VerificationAfterDelay).
 @param timer Checker of whether the duration of the verification is still acceptable",VerificationOverTimeImpl,VerificationOverTimeImpl,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public VerificationOverTimeImpl(long pollingPeriodMillis, long durationMillis, VerificationMode delegate, boolean returnOnSuccess)"", ""entityFile"": ""VerificationOverTimeImpl.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public VerificationOverTimeImpl(long pollingPeriodMillis, VerificationMode delegate, boolean returnOnSuccess, Timer timer)"", ""entityFile"": ""VerificationOverTimeImpl.java""} -->",1
2,"Allows creating custom char argument matchers.
 Note that #argThat will not work with primitive char matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.","Allows creating custom boolean argument matchers.
 Note that #argThat will not work with primitive boolean matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return false.",charThat,booleanThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static char charThat(ArgumentMatcher<Character> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static boolean booleanThat(ArgumentMatcher<Boolean> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
3,"Allows creating custom char argument matchers.
 Note that #argThat will not work with primitive char matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.","Allows creating custom byte argument matchers.
 Note that #argThat will not work with primitive byte matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.",charThat,byteThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static char charThat(ArgumentMatcher<Character> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static byte byteThat(ArgumentMatcher<Byte> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
4,"Allows creating custom char argument matchers.
 Note that #argThat will not work with primitive char matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.","Allows creating custom short argument matchers.
 Note that #argThat will not work with primitive short matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.",charThat,shortThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static char charThat(ArgumentMatcher<Character> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static short shortThat(ArgumentMatcher<Short> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
5,"Allows creating custom char argument matchers.
 Note that #argThat will not work with primitive char matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.","Allows creating custom int argument matchers.
 Note that #argThat will not work with primitive int matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.",charThat,intThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static char charThat(ArgumentMatcher<Character> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static int intThat(ArgumentMatcher<Integer> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
6,"Allows creating custom char argument matchers.
 Note that #argThat will not work with primitive char matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.","Allows creating custom long argument matchers.
 Note that #argThat will not work with primitive long matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.",charThat,longThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static char charThat(ArgumentMatcher<Character> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static long longThat(ArgumentMatcher<Long> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
7,"Allows creating custom char argument matchers.
 Note that #argThat will not work with primitive char matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.","Allows creating custom float argument matchers.
 Note that #argThat will not work with primitive float matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.",charThat,floatThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static char charThat(ArgumentMatcher<Character> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static float floatThat(ArgumentMatcher<Float> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
8,"Allows creating custom char argument matchers.
 Note that #argThat will not work with primitive char matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.","Allows creating custom double argument matchers.
 Note that #argThat will not work with primitive double matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.",charThat,doubleThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static char charThat(ArgumentMatcher<Character> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static double doubleThat(ArgumentMatcher<Double> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
9,"Allows creating custom boolean argument matchers.
 Note that #argThat will not work with primitive boolean matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return false.","Allows creating custom byte argument matchers.
 Note that #argThat will not work with primitive byte matchers due to NullPointerException auto-unboxing caveat.
 See examples in javadoc for Matchers class
 @param matcher decides whether argument matches
 @return 0.",booleanThat,byteThat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static boolean booleanThat(ArgumentMatcher<Boolean> matcher)"", ""entityFile"": ""Matchers.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static byte byteThat(ArgumentMatcher<Byte> matcher)"", ""entityFile"": ""Matchers.java""} -->",1
