,comment1,comment2,name1,name2,meta1,meta2,label
0,"Performs single argument substitution for the 'messagePattern' passed as
 parameter.
 For example,
 MessageFormatter.format(&quot;Hi {}.&quot;, &quot;there&quot;);
 will return the string ""Hi there."".
 @param messagePattern
 The message pattern which will be parsed and formatted
 @param arg
 The argument to be substituted in place of the formatting anchor
 @return The formatted message","Performs a two argument substitution for the 'messagePattern' passed as
 parameter.
 For example,
 MessageFormatter.format(&quot;Hi {}. My name is {}.&quot;, &quot;Alice&quot;, &quot;Bob&quot;);
 will return the string ""Hi Alice. My name is Bob."".
 @param messagePattern
 The message pattern which will be parsed and formatted
 @param arg1
 The argument to be substituted in place of the first formatting
 anchor
 @param arg2
 The argument to be substituted in place of the second formatting
 anchor
 @return The formatted message",format,format,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static final FormattingTuple format(String messagePattern, Object arg)"", ""entityFile"": ""MessageFormatter.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public static final FormattingTuple format(final String messagePattern, Object arg1, Object arg2)"", ""entityFile"": ""MessageFormatter.java""} -->",1
1,"Put a context value (the val parameter) as identified with
 the key parameter into the current thread's context map.
 The key parameter cannot be null. The code>val parameter
 can be null only if the underlying implementation supports it.
 If the current thread does not have a context map it is created as a side
 effect of this call.","Put a context value (the val parameter) as identified with
 the key parameter into the current thread's context map.
 Note that contrary to log4j, the val parameter can be null.
 If the current thread does not have a context map it is created as a side
 effect of this call.
 @throws IllegalArgumentException
 in case the ""key"" parameter is null",put,put,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void put(String key, String val)"", ""entityFile"": ""MDCAdapter.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void put(String key, String val)"", ""entityFile"": ""BasicMDCAdapter.java""} -->",1
2,"Log a message at the TRACE level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the TRACE level.
 @param format the format string
 @param arg the argument
 @since 1.4","Log a message at the DEBUG level according to the specified format
 and arguments.
 This form avoids superfluous object creation when the logger
 is disabled for the DEBUG level.
 @param format the format string
 @param arg1 the first argument
 @param arg2 the second argument",trace,debug,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void debug(String format, Object arg1, Object arg2)"", ""entityFile"": ""Logger.java""} -->",1
3,"Log a message at the TRACE level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the TRACE level.
 @param format the format string
 @param arg the argument
 @since 1.4","Log a message at the INFO level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the INFO level.
 @param format the format string
 @param arg the argument",trace,info,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void info(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->",1
4,"Log a message at the TRACE level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the TRACE level.
 @param format the format string
 @param arg the argument
 @since 1.4","Log a message at the INFO level according to the specified format
 and arguments.
 This form avoids superfluous object creation when the logger
 is disabled for the INFO level.
 @param format the format string
 @param arg1 the first argument
 @param arg2 the second argument",trace,info,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void info(String format, Object arg1, Object arg2)"", ""entityFile"": ""Logger.java""} -->",1
5,"Log a message at the TRACE level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the TRACE level.
 @param format the format string
 @param arg the argument
 @since 1.4","Log a message at the WARN level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the WARN level.
 @param format the format string
 @param arg the argument",trace,warn,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void warn(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->",1
6,"Log a message at the TRACE level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the TRACE level.
 @param format the format string
 @param arg the argument
 @since 1.4","Log a message at the WARN level according to the specified format
 and arguments.
 This form avoids superfluous object creation when the logger
 is disabled for the WARN level.
 @param format the format string
 @param arg1 the first argument
 @param arg2 the second argument",trace,warn,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void warn(String format, Object arg1, Object arg2)"", ""entityFile"": ""Logger.java""} -->",1
7,"Log a message at the TRACE level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the TRACE level.
 @param format the format string
 @param arg the argument
 @since 1.4","Log a message at the ERROR level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the ERROR level.
 @param format the format string
 @param arg the argument",trace,error,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void error(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->",1
8,"Log a message at the TRACE level according to the specified format
 and argument.
 This form avoids superfluous object creation when the logger
 is disabled for the TRACE level.
 @param format the format string
 @param arg the argument
 @since 1.4","Log a message at the ERROR level according to the specified format
 and arguments.
 This form avoids superfluous object creation when the logger
 is disabled for the ERROR level.
 @param format the format string
 @param arg1 the first argument
 @param arg2 the second argument",trace,error,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void error(String format, Object arg1, Object arg2)"", ""entityFile"": ""Logger.java""} -->",1
9,"Log a message at the TRACE level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the TRACE level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for TRACE. The variants taking #trace(String, Object) one and
 #trace(String, Object, Object) two arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments
 @since 1.4","Log a message at the DEBUG level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the DEBUG level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for DEBUG. The variants taking
 #debug(String, Object) one and #debug(String, Object, Object) two
 arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments",trace,debug,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void debug(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->",1
10,"Log a message at the TRACE level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the TRACE level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for TRACE. The variants taking #trace(String, Object) one and
 #trace(String, Object, Object) two arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments
 @since 1.4","Log a message at the INFO level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the INFO level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for INFO. The variants taking
 #info(String, Object) one and #info(String, Object, Object) two
 arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments",trace,info,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void info(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->",1
11,"Log a message at the TRACE level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the TRACE level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for TRACE. The variants taking #trace(String, Object) one and
 #trace(String, Object, Object) two arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments
 @since 1.4","Log a message at the WARN level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the WARN level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for WARN. The variants taking
 #warn(String, Object) one and #warn(String, Object, Object) two
 arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments",trace,warn,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void warn(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->",1
12,"Log a message at the TRACE level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the TRACE level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for TRACE. The variants taking #trace(String, Object) one and
 #trace(String, Object, Object) two arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments
 @since 1.4","Log a message at the ERROR level according to the specified format
 and arguments.
 This form avoids superfluous string concatenation when the logger
 is disabled for the ERROR level. However, this variant incurs the hidden
 (and relatively small) cost of creating an Object[] before invoking the method,
 even if this logger is disabled for ERROR. The variants taking
 #error(String, Object) one and #error(String, Object, Object) two
 arguments exist solely in order to avoid this hidden cost.
 @param format the format string
 @param arguments a list of 3 or more arguments",trace,error,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void error(String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->",1
13,"Similar to #isTraceEnabled() method except that the
 marker data is also taken into account.
 @param marker The marker data to take into consideration
 @return True if this Logger is enabled for the TRACE level,
 false otherwise.
 @since 1.4","Similar to #isDebugEnabled() method except that the
 marker data is also taken into account.
 @param marker The marker data to take into consideration
 @return True if this Logger is enabled for the DEBUG level,
 false otherwise.",isTraceEnabled,isDebugEnabled,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isTraceEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isDebugEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->",1
14,"Similar to #isTraceEnabled() method except that the
 marker data is also taken into account.
 @param marker The marker data to take into consideration
 @return True if this Logger is enabled for the TRACE level,
 false otherwise.
 @since 1.4","Similar to #isInfoEnabled() method except that the marker
 data is also taken into consideration.
 @param marker The marker data to take into consideration
 @return true if this logger is warn enabled, false otherwise",isTraceEnabled,isInfoEnabled,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isTraceEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isInfoEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->",1
15,"Similar to #isTraceEnabled() method except that the
 marker data is also taken into account.
 @param marker The marker data to take into consideration
 @return True if this Logger is enabled for the TRACE level,
 false otherwise.
 @since 1.4","Similar to #isWarnEnabled() method except that the marker
 data is also taken into consideration.
 @param marker The marker data to take into consideration
 @return True if this Logger is enabled for the WARN level,
 false otherwise.",isTraceEnabled,isWarnEnabled,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isTraceEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isWarnEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->",1
16,"Similar to #isTraceEnabled() method except that the
 marker data is also taken into account.
 @param marker The marker data to take into consideration
 @return True if this Logger is enabled for the TRACE level,
 false otherwise.
 @since 1.4","Similar to #isErrorEnabled() method except that the
 marker data is also taken into consideration.
 @param marker The marker data to take into consideration
 @return True if this Logger is enabled for the ERROR level,
 false otherwise.",isTraceEnabled,isErrorEnabled,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isTraceEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean isErrorEnabled(Marker marker)"", ""entityFile"": ""Logger.java""} -->",1
17,"Log a message with the specific Marker at the TRACE level.
 @param marker the marker data specific to this log statement
 @param msg the message string to be logged
 @since 1.4","Log a message with the specific Marker at the DEBUG level.
 @param marker the marker data specific to this log statement
 @param msg the message string to be logged",trace,debug,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String msg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void debug(Marker marker, String msg)"", ""entityFile"": ""Logger.java""} -->",1
18,"Log a message with the specific Marker at the TRACE level.
 @param marker the marker data specific to this log statement
 @param msg the message string to be logged
 @since 1.4","Log a message with the specific Marker at the ERROR level.
 @param marker The marker specific to this log statement
 @param msg the message string to be logged",trace,error,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String msg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void error(Marker marker, String msg)"", ""entityFile"": ""Logger.java""} -->",1
19,"This method is similar to #trace(String, Object) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg the argument
 @since 1.4","This method is similar to #trace(String, Object, Object)
 method except that the marker data is also taken into
 consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg1 the first argument
 @param arg2 the second argument
 @since 1.4",trace,trace,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object arg1, Object arg2)"", ""entityFile"": ""Logger.java""} -->",1
20,"This method is similar to #trace(String, Object) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg the argument
 @since 1.4","This method is similar to #trace(String, Object...)
 method except that the marker data is also taken into
 consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param argArray an array of arguments
 @since 1.4",trace,trace,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object... argArray)"", ""entityFile"": ""Logger.java""} -->",1
21,"This method is similar to #trace(String, Object) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg the argument
 @since 1.4","This method is similar to #trace(String, Throwable) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param msg the message accompanying the exception
 @param t the exception (throwable) to log
 @since 1.4",trace,trace,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String msg, Throwable t)"", ""entityFile"": ""Logger.java""} -->",1
22,"This method is similar to #trace(String, Object) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg the argument
 @since 1.4","This method is similar to #debug(String, Object) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg the argument",trace,debug,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void debug(Marker marker, String format, Object arg)"", ""entityFile"": ""Logger.java""} -->",1
23,"This method is similar to #trace(String, Object) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg the argument
 @since 1.4","This method is similar to #debug(String, Object, Object)
 method except that the marker data is also taken into
 consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg1 the first argument
 @param arg2 the second argument",trace,debug,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void debug(Marker marker, String format, Object arg1, Object arg2)"", ""entityFile"": ""Logger.java""} -->",1
24,"This method is similar to #trace(String, Object) method except that the
 marker data is also taken into consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arg the argument
 @since 1.4","This method is similar to #debug(String, Object...)
 method except that the marker data is also taken into
 consideration.
 @param marker the marker data specific to this log statement
 @param format the format string
 @param arguments a list of 3 or more arguments",trace,debug,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void trace(Marker marker, String format, Object arg)"", ""entityFile"": ""Logger.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public void debug(Marker marker, String format, Object... arguments)"", ""entityFile"": ""Logger.java""} -->",1
