,comment1,comment2,name1,name2,meta1,meta2,label
0,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a {@link String} if it contains a single element.
 @return get this element as a String if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid String.
 @throws IllegalStateException if the array has more than one element.",getAsNumber,getAsString,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public String getAsString()"", ""entityFile"": ""JsonArray.java""} -->",1
1,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a double if it contains a single element.
 @return get this element as a double if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid double.
 @throws IllegalStateException if the array has more than one element.",getAsNumber,getAsDouble,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public double getAsDouble()"", ""entityFile"": ""JsonArray.java""} -->",1
2,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a {@link BigDecimal} if it contains a single element.
 @return get this element as a {@link BigDecimal} if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive}.
 @throws NumberFormatException if the element at index 0 is not a valid {@link BigDecimal}.
 @throws IllegalStateException if the array has more than one element.
 @since 1.2",getAsNumber,getAsBigDecimal,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public BigDecimal getAsBigDecimal()"", ""entityFile"": ""JsonArray.java""} -->",1
3,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a {@link BigInteger} if it contains a single element.
 @return get this element as a {@link BigInteger} if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive}.
 @throws NumberFormatException if the element at index 0 is not a valid {@link BigInteger}.
 @throws IllegalStateException if the array has more than one element.
 @since 1.2",getAsNumber,getAsBigInteger,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public BigInteger getAsBigInteger()"", ""entityFile"": ""JsonArray.java""} -->",1
4,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a float if it contains a single element.
 @return get this element as a float if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid float.
 @throws IllegalStateException if the array has more than one element.",getAsNumber,getAsFloat,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public float getAsFloat()"", ""entityFile"": ""JsonArray.java""} -->",1
5,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a long if it contains a single element.
 @return get this element as a long if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid long.
 @throws IllegalStateException if the array has more than one element.",getAsNumber,getAsLong,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public long getAsLong()"", ""entityFile"": ""JsonArray.java""} -->",1
6,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as an integer if it contains a single element.
 @return get this element as an integer if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid integer.
 @throws IllegalStateException if the array has more than one element.",getAsNumber,getAsInt,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public int getAsInt()"", ""entityFile"": ""JsonArray.java""} -->",1
7,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a primitive short if it contains a single element.
 @return get this element as a primitive short if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid short.
 @throws IllegalStateException if the array has more than one element.",getAsNumber,getAsShort,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public short getAsShort()"", ""entityFile"": ""JsonArray.java""} -->",1
8,"convenience method to get this array as a {@link Number} if it contains a single element.
 @return get this element as a number if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid Number.
 @throws IllegalStateException if the array has more than one element.()","convenience method to get this array as a boolean if it contains a single element.
 @return get this element as a boolean if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid boolean.
 @throws IllegalStateException if the array has more than one element.",getAsNumber,getAsBoolean,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public Number getAsNumber()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public boolean getAsBoolean()"", ""entityFile"": ""JsonArray.java""} -->",1
9,"convenience method to get this array as a {@link String} if it contains a single element.
 @return get this element as a String if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid String.
 @throws IllegalStateException if the array has more than one element.","convenience method to get this array as a double if it contains a single element.
 @return get this element as a double if it is single element array.
 @throws ClassCastException if the element in the array is of not a {@link JsonPrimitive} and
 is not a valid double.
 @throws IllegalStateException if the array has more than one element.",getAsString,getAsDouble,"<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public String getAsString()"", ""entityFile"": ""JsonArray.java""} -->","<!-- META {""entityType"": ""Method"", ""entitySignature"": ""public double getAsDouble()"", ""entityFile"": ""JsonArray.java""} -->",1
